"prompt_id","category","source_hint","file_path","original_source"
"SRC011","Composition Transport","cookbook: composition_passive_particles","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\composition_passive_particles__composition_passive_particles.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\composition_passive_particles\composition_passive_particles.prm"
"SRC012","Composition Transport","cookbook: composition_passive_particles","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\composition_passive_particles__composition_passive_particles_properties.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\composition_passive_particles\composition_passive_particles_properties.prm"
"SRC013","Thermo-Mechanical Deformation","cookbook: continental_extension","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\continental_extension__continental_extension.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\continental_extension\continental_extension.prm"
"SRC014","Thermal Convection","cookbook: convection-box","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\convection-box__convection-box.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\convection-box\convection-box.prm"
"SRC015","Thermal Convection","cookbook: convection-box","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\convection-box__tutorial-onset-of-convection__model_input__convection-box.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\convection-box\tutorial-onset-of-convection\model_input\convection-box.prm"
"SRC016","Thermal Convection","cookbook: convection-box","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\convection-box__tutorial-onset-of-convection__model_input__convection-box2.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\convection-box\tutorial-onset-of-convection\model_input\convection-box2.prm"
"SRC017","Thermal Convection","cookbook: convection-box","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\convection-box__tutorial-onset-of-convection__model_input__tutorial.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\convection-box\tutorial-onset-of-convection\model_input\tutorial.prm"
"SRC018","Thermal Convection","cookbook: convection-box-particles","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\convection-box-particles__convection-box-particles.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\convection-box-particles\convection-box-particles.prm"
"SRC019","Thermal Convection","cookbook: convection_box_3d","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\convection_box_3d__convection_box_3d.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\convection_box_3d\convection_box_3d.prm"
"SRC020","Cookbook Inspired","cookbook: CPO_induced_anisotropic_viscosity","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\CPO_induced_anisotropic_viscosity__shearbox_cpo_av.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\CPO_induced_anisotropic_viscosity\shearbox_cpo_av.prm"
"SRC021","Thermo-Mechanical Deformation","cookbook: crustal_deformation","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\crustal_deformation__crustal_model_2D.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\crustal_deformation\crustal_model_2D.prm"
"SRC022","Thermo-Mechanical Deformation","cookbook: crustal_deformation","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\crustal_deformation__crustal_model_3D.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\crustal_deformation\crustal_model_3D.prm"
"SRC023","Cookbook Inspired","cookbook: crystal_preferred_orientation_olivine_fraters_billen_2021","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\crystal_preferred_orientation_olivine_fraters_billen_2021__olivineA.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\crystal_preferred_orientation_olivine_fraters_billen_2021\olivineA.prm"
"SRC024","Free Surface And Topography","cookbook: fastscape_eroding_box","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\fastscape_eroding_box__fastscape_eroding_box.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\fastscape_eroding_box\fastscape_eroding_box.prm"
"SRC025","Thermo-Mechanical Deformation","cookbook: finite_strain","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\finite_strain__finite_strain.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\finite_strain\finite_strain.prm"
"SRC026","Free Surface And Topography","cookbook: free_surface","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\free_surface__free_surface.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\free_surface\free_surface.prm"
"SRC027","Free Surface And Topography","cookbook: free_surface_with_crust","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\free_surface_with_crust__free_surface_with_crust.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\free_surface_with_crust\free_surface_with_crust.prm"
"SRC028","Cookbook Inspired","cookbook: future","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\future__mantle_setup_restart.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\future\mantle_setup_restart.prm"
"SRC029","Cookbook Inspired","cookbook: future","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\future__mantle_setup_start.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\future\mantle_setup_start.prm"
"SRC030","Cookbook Inspired","cookbook: future","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\future__net_rotation.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\future\net_rotation.prm"
"SRC031","Cookbook Inspired","cookbook: future","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\future__periodic_box.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\future\periodic_box.prm"
"SRC032","Cookbook Inspired","cookbook: future","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\future__radiogenic_heating.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\future\radiogenic_heating.prm"
"SRC033","Cookbook Inspired","cookbook: future","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\future__radiogenic_heating_function.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\future\radiogenic_heating_function.prm"
"SRC034","Cookbook Inspired","cookbook: future","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\future__sphere.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\future\sphere.prm"
"SRC035","Cookbook Inspired","cookbook: geomio","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\geomio__geomIO.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\geomio\geomIO.prm"
"SRC036","Melt Transport","cookbook: global_melt","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\global_melt__global_melt.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\global_melt\global_melt.prm"
"SRC037","Melt Transport","cookbook: global_melt","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\global_melt__global_no_melt.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\global_melt\global_no_melt.prm"
"SRC038","Cookbook Inspired","cookbook: global_regional_coupling","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\global_regional_coupling__free_slip_boundaries.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\global_regional_coupling\free_slip_boundaries.prm"
"SRC039","Cookbook Inspired","cookbook: global_regional_coupling","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\global_regional_coupling__global_regional_coupling.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\global_regional_coupling\global_regional_coupling.prm"
"SRC040","Planetary And Tectonic Geodynamics","cookbook: gplates","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\gplates__gplates_2d.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\gplates\gplates_2d.prm"
"SRC041","Planetary And Tectonic Geodynamics","cookbook: gplates","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\gplates__gplates_3d.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\gplates\gplates_3d.prm"
"SRC042","Melt Transport","cookbook: grain_size_ridge","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\grain_size_ridge__grain_size_ridge.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\grain_size_ridge\grain_size_ridge.prm"
"SRC043","Thermal Convection","cookbook: heat_flow","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\heat_flow__heat-flow-plume.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\heat_flow\heat-flow-plume.prm"
"SRC044","Thermal Convection","cookbook: heat_flow","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\heat_flow__heat-flow-terms.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\heat_flow\heat-flow-terms.prm"
"SRC045","Thermal Convection","cookbook: heat_flow","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\heat_flow__heat-flow.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\heat_flow\heat-flow.prm"
"SRC046","Thermo-Mechanical Deformation","cookbook: inclusions","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\inclusions__ellipse_pure_shear.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\inclusions\ellipse_pure_shear.prm"
"SRC047","Thermo-Mechanical Deformation","cookbook: inclusions","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\inclusions__ellipse_pure_shear_nonlinear.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\inclusions\ellipse_pure_shear_nonlinear.prm"
"SRC048","Thermo-Mechanical Deformation","cookbook: inclusions","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\inclusions__ellipse_ref.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\inclusions\ellipse_ref.prm"
"SRC049","Thermo-Mechanical Deformation","cookbook: inclusions","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\inclusions__ellipse_simple_shear.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\inclusions\ellipse_simple_shear.prm"
"SRC050","Thermo-Mechanical Deformation","cookbook: inclusions","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\inclusions__rectangle_pure_shear.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\inclusions\rectangle_pure_shear.prm"
"SRC051","Thermo-Mechanical Deformation","cookbook: inclusions","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\inclusions__rectangle_ref.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\inclusions\rectangle_ref.prm"
"SRC052","Thermo-Mechanical Deformation","cookbook: inclusions","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\inclusions__rectangle_simple_shear.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\inclusions\rectangle_simple_shear.prm"
"SRC053","Planetary And Tectonic Geodynamics","cookbook: initial-condition-S20RTS","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\initial-condition-S20RTS__S20RTS.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\initial-condition-S20RTS\S20RTS.prm"
"SRC054","Thermal Convection","cookbook: inner_core_convection","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\inner_core_convection__inner_core_traction.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\inner_core_convection\inner_core_traction.prm"
"SRC055","Planetary And Tectonic Geodynamics","cookbook: kinematically_driven_subduction_2d","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\kinematically_driven_subduction_2d__kinematically_driven_subduction_2d_case1.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\kinematically_driven_subduction_2d\kinematically_driven_subduction_2d_case1.prm"
"SRC056","Planetary And Tectonic Geodynamics","cookbook: kinematically_driven_subduction_2d","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\kinematically_driven_subduction_2d__kinematically_driven_subduction_2d_case2a.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\kinematically_driven_subduction_2d\kinematically_driven_subduction_2d_case2a.prm"
"SRC057","Planetary And Tectonic Geodynamics","cookbook: kinematically_driven_subduction_2d","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\kinematically_driven_subduction_2d__kinematically_driven_subduction_2d_case2b.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\kinematically_driven_subduction_2d\kinematically_driven_subduction_2d_case2b.prm"
"SRC058","Cookbook Inspired","cookbook: latent-heat","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\latent-heat__latent-heat.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\latent-heat\latent-heat.prm"
"SRC059","Thermo-Mechanical Deformation","cookbook: lower_crustal_flow","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\lower_crustal_flow__lower_crustal_flow_obstacle.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\lower_crustal_flow\lower_crustal_flow_obstacle.prm"
"SRC060","Cookbook Inspired","cookbook: magnetic_stripes","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\magnetic_stripes__magnetic_stripes.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\magnetic_stripes\magnetic_stripes.prm"
"SRC061","Thermal Convection","cookbook: mantle_convection_with_continents_in_annulus","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\mantle_convection_with_continents_in_annulus__modelR.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\mantle_convection_with_continents_in_annulus\modelR.prm"
"SRC062","Melt Transport","cookbook: mid_ocean_ridge","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\mid_ocean_ridge__mid_ocean_ridge.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\mid_ocean_ridge\mid_ocean_ridge.prm"
"SRC063","Cookbook Inspired","cookbook: morency_doin_2004","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\morency_doin_2004__morency_doin.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\morency_doin_2004\morency_doin.prm"
"SRC064","Planetary And Tectonic Geodynamics","cookbook: multicomponent_steinberger","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\multicomponent_steinberger__steinberger_thermochemical_plume.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\multicomponent_steinberger\steinberger_thermochemical_plume.prm"
"SRC065","Cookbook Inspired","cookbook: muparser_temperature_example","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\muparser_temperature_example__muparser-temperature-example.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\muparser_temperature_example\muparser-temperature-example.prm"
"SRC066","Thermal Convection","cookbook: onset_of_convection","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\onset_of_convection__onset_of_convection.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\onset_of_convection\onset_of_convection.prm"
"SRC067","Cookbook Inspired","cookbook: phase_transition_kinetics","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\phase_transition_kinetics__simple-subduction.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\phase_transition_kinetics\simple-subduction.prm"
"SRC068","Cookbook Inspired","cookbook: platelike-boundary","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\platelike-boundary__platelike-boundary.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\platelike-boundary\platelike-boundary.prm"
"SRC069","Thermal Convection","cookbook: plume_2D_chunk","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\plume_2D_chunk__opening_angle_45degrees.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\plume_2D_chunk\opening_angle_45degrees.prm"
"SRC070","Thermal Convection","cookbook: plume_2D_chunk","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\plume_2D_chunk__opening_angle_90degrees.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\plume_2D_chunk\opening_angle_90degrees.prm"
"SRC071","Thermal Convection","cookbook: plume_2D_chunk","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\plume_2D_chunk__plume2D.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\plume_2D_chunk\plume2D.prm"
"SRC072","Thermal Convection","cookbook: plume_2D_chunk","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\plume_2D_chunk__strongly_temperature_dependent.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\plume_2D_chunk\strongly_temperature_dependent.prm"
"SRC073","Thermal Convection","cookbook: plume_2D_chunk","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\plume_2D_chunk__weakly_temperature_dependent.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\plume_2D_chunk\weakly_temperature_dependent.prm"
"SRC074","Thermo-Mechanical Deformation","cookbook: prescribed_velocity","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\prescribed_velocity__circle.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\prescribed_velocity\circle.prm"
"SRC075","Thermo-Mechanical Deformation","cookbook: prescribed_velocity","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\prescribed_velocity__corner_flow.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\prescribed_velocity\corner_flow.prm"
"SRC076","Thermo-Mechanical Deformation","cookbook: prescribed_velocity_ascii_data","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\prescribed_velocity_ascii_data__prescribed_velocity_ascii_data.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\prescribed_velocity_ascii_data\prescribed_velocity_ascii_data.prm"
"SRC077","Cookbook Inspired","cookbook: shell_3d_postprocess","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\shell_3d_postprocess__shell_3d_postprocess.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\shell_3d_postprocess\shell_3d_postprocess.prm"
"SRC078","Thermal Convection","cookbook: shell_simple_2d","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\shell_simple_2d__shell_simple_2d.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\shell_simple_2d\shell_simple_2d.prm"
"SRC079","Thermal Convection","cookbook: shell_simple_2d_smoothing","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\shell_simple_2d_smoothing__shell_simple_2d_smoothing.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\shell_simple_2d_smoothing\shell_simple_2d_smoothing.prm"
"SRC080","Thermal Convection","cookbook: shell_simple_3d","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\shell_simple_3d__shell_simple_3d.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\shell_simple_3d\shell_simple_3d.prm"
"SRC081","Composition Transport","cookbook: sinker-with-averaging","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\sinker-with-averaging__sinker-with-averaging.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\sinker-with-averaging\sinker-with-averaging.prm"
"SRC082","Cookbook Inspired","cookbook: sinking_of_anhydrite_block_in_salt_diapir","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\sinking_of_anhydrite_block_in_salt_diapir__sinking_of_anhydrite_block_in_salt_diapir_particle_in_cell.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\sinking_of_anhydrite_block_in_salt_diapir\sinking_of_anhydrite_block_in_salt_diapir_particle_in_cell.prm"
"SRC083","Planetary And Tectonic Geodynamics","cookbook: steinberger","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\steinberger__steinberger.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\steinberger\steinberger.prm"
